area_name,area_code,population_max,population_max_0,population_max_1,population_max_2,population_max_3,population_max_4,population_max_5,population_max_6,population_max_7,population_max_8,population_max_9,population_max_10,population_man_max,population_man_0,population_man_1,population_man_2,population_man_3,population_man_4,population_man_5,population_man_6,population_man_7,population_man_8,population_man_9,population_man_10,population_woman_max,population_woman_0,population_woman_1,population_woman_2,population_woman_3,population_woman_4,population_woman_5,population_woman_6,population_woman_7,population_woman_8,population_woman_9,population_woman_10
서울특별시 성동구 행당제1동,1120056000,13924,946,988,2233,2250,2107,2253,1722,958,400,63,4,6708,477,468,1077,1116,1026,1077,862,428,157,19,1,7216,469,520,1156,1134,1081,1176,860,530,243,44,3
서울특별시 성동구 행당제2동,1120057000,23344,1723,2002,2845,3522,3829,3938,2893,1742,752,95,3,10935,850,907,1356,1664,1843,1921,1341,752,280,20,1,12409,873,1095,1489,1858,1986,2017,1552,990,472,75,2
서울특별시 성동구 응봉동,1120058000,15441,1137,1601,1725,2163,2835,2476,1751,1134,557,62,0,7362,583,795,847,1063,1350,1212,807,480,206,19,0,8079,554,806,878,1100,1485,1264,944,654,351,43,0
서울특별시 성동구 금호1가동,1120059000,15261,1228,1070,1707,2565,2519,2315,2166,1096,534,59,2,7276,618,553,845,1193,1281,1111,988,484,186,17,0,7985,610,517,862,1372,1238,1204,1178,612,348,42,2
서울특별시 성동구 금호2.3가동,1120061500,22752,1704,1381,2744,4036,3665,3636,3044,1668,763,104,7,10829,876,677,1395,1952,1802,1718,1406,713,259,28,3,11923,828,704,1349,2084,1863,1918,1638,955,504,76,4
서울특별시 성동구 금호4가동,1120062000,14338,1320,917,1438,2563,2544,2101,1864,1069,464,54,4,6823,669,475,718,1188,1276,1035,839,455,152,14,2,7515,651,442,720,1375,1268,1066,1025,614,312,40,2
서울특별시 성동구 옥수동,1120064500,26041,2476,1652,2749,4829,4465,3849,3393,1712,789,119,8,12107,1233,851,1261,2165,2183,1767,1549,751,314,30,3,13934,1243,801,1488,2664,2282,2082,1844,961,475,89,5
서울특별시 성동구 성수1가제1동,1120065000,16573,993,1082,2534,2864,2348,3060,2298,941,397,52,4,8284,548,555,1306,1422,1155,1537,1162,435,149,13,2,8289,445,527,1228,1442,1193,1523,1136,506,248,39,2
서울특별시 성동구 성수1가제2동,1120066000,12696,681,839,2029,2289,1935,1993,1674,865,350,41,0,6228,354,420,982,1136,937,1007,832,418,132,10,0,6468,327,419,1047,1153,998,986,842,447,218,31,0
서울특별시 성동구 성수2가제1동,1120067000,15858,762,829,2193,2499,2144,2937,2712,1224,497,55,6,8290,385,434,1147,1365,1144,1581,1442,570,210,10,2,7568,377,395,1046,1134,1000,1356,1270,654,287,45,4
서울특별시 성동구 성수2가제3동,1120069000,10827,560,503,1919,1879,1409,1752,1557,827,370,48,3,5449,287,261,895,966,722,927,830,392,148,19,2,5378,273,242,1024,913,687,825,727,435,222,29,1
서울특별시 성동구 송정동,1120072000,10510,477,557,1679,1578,1502,1916,1694,755,307,44,1,5554,254,300,862,869,830,1037,918,351,121,11,1,4956,223,257,817,709,672,879,776,404,186,33,0
서울특별시 성동구 용답동,1120079000,11703,351,590,2277,1701,1587,2094,1650,975,433,43,2,6081,186,292,1012,902,917,1233,908,451,174,6,0,5622,165,298,1265,799,670,861,742,524,259,37,2
서울특별시 광진구 ,1121500000,340339,17886,24899,61717,54722,50498,53833,44120,21959,9406,1238,61,164212,9204,12614,28888,27139,24872,26381,20977,10046,3745,330,16,176127,8682,12285,32829,27583,25626,27452,23143,11913,5661,908,45
서울특별시 광진구 화양동,1121571000,23020,356,708,10057,4505,2111,2066,1728,999,431,56,3,10978,177,326,4327,2359,1188,1116,822,464,183,16,0,12042,179,382,5730,2146,923,950,906,535,248,40,3
